id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names,type
97072,Charmsukh,"Charmsukh is an erotic, drama web-series streamed on ULLU network with each episode having unique storyline.",2019-11-22,6.0,1,36.9757,/6Kt9zIsrtqs1x1XyNFxOeEjlkKB.jpg,Drama,tv
78075,The Repair Shop,"The Repair Shop is a workshop of dreams, where broken or damaged cherished family heirlooms are brought back to life. Furniture restorers, horologists, metal workers, ceramicists, upholsterers and all manner of skilled craftsmen and women have been brought together to work in one extraordinary space, restoring much-loved possessions to their former glory.",2017-03-27,6.7,26,36.9409,/4YjXfhJmwCWWqoHWiPSNkoMPZHd.jpg,Reality,tv
7782,Un gancho al corazón,"Un gancho al corazón is a Mexican telenovela that began airing on Mexico's Canal de las Estrellas, beginning August 25, 2008. It began airing in the United States on Univision on June 22, 2009, with the show's run ending there on May 3, 2010. The telenovela is a production of Angelli Nesma Medina and is an original story by Adrian Suar starring Danna Garcia, Sebastián Rulli, and Laisha Wilkins. The telenovela is a remake of Argentine daily comedy Sos mi vida.",2007-09-17,7.267,116,36.9404,/jyNmzMm4bqmIoB7DUmmMPgI6YMa.jpg,Soap,tv
62017,The Man in the High Castle,"Explore what it would be like if the Allied Powers had lost WWII, and Japan and Germany ruled the United States. Based on Philip K. Dick's award-winning novel.",2015-01-15,7.517,1318,36.933,/xhoDZbMNeyCA0BGPZQsdIiO43Dp.jpg,"Sci-Fi & Fantasy, Drama",tv
7213,Ikaw Na Sana,Ikaw na Sana was a Philippine drama series produced by Viva Television and distributed by GMA Network. This love story was later turned into a movie of the same title.,1997-03-17,0.0,0,36.9078,/jOqgLvBXfungjhIP0FkUf6epKR6.jpg,Drama,tv
4643,Welcome to the House,"Welcome to the House is a TVB modern sitcom series broadcast from April 2006 to March 2007.

The series surrounded the day-to-day lives of the Ko family.",2006-04-10,10.0,1,36.8994,/sLsaxED5dHQ4FSzIqN8xJgSAuF9.jpg,Drama,tv
2223,The F.B.I.,"The F.B.I. is an American television series that was broadcast on ABC from 1965 to 1974. It was sponsored by the Ford Motor Company, and the characters almost always drove Ford vehicles in the series. Alcoa was co-sponsor of Season One only.",1965-09-19,5.5,23,36.8472,/tUlL68lFmnonSg180QJ59ipnd7c.jpg,"Crime, Drama, Mystery",tv
58450,What Life Took From Me,"""What Life Took From Me"" is a Mexican telenovela produced by Angelli Nesma Medina for Televisa. It is a remake of Bodas de odio, produced by Ernesto Alonso in 1983. In 2003, ""True Love"", the first remake, was produced by Carla Estrada. Unlike Bodas de odio and ""True Love"", ""What Life Took From Me"" has been adapted to the present time.",2013-10-28,7.712,1310,36.8149,/qHPdvdPE0U2B4nuQaU0IrWtqoQ2.jpg,Drama,tv
39290,Swamp People,In the farthest corner of Louisiana lies the nation's largest swamp - a hidden world where nature rules... and man fights back. The Cajuns that live in this forbidding environment follow a tradition dating back three hundred years -  the thirty day alligator hunting season.,2010-08-22,8.3,36,36.7825,/2OLYBptV16suLOe1RvYfmuFD4wg.jpg,Reality,tv
5021,The Waltons,The Waltons live their life in a rural Virginia community during the Great Depression and World War II.,1972-09-14,7.132,95,36.7597,/51HX9eNn5ZPjRIngDvnk4KzFb1a.jpg,Drama,tv
272059,TO BE HERO X,"In a world full of brilliant heroes, it’s the trust of fans that turns heroes into superheroes. If a hero loses the people’s trust, they lose their special abilities. Trust value is collected, quantified, and used to determine a hero’s ranking, displayed on their wrist. Every two years, the top heroes go to a tournament to fight, determine new trust values, and earn their rankings.",2025-04-06,7.857,8,36.754,/7ynNG9lYS9HIR8cYMgawO19VPkg.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",tv
70313,Rodinná pouta,,2004-03-23,2.7,3,36.7381,/8sf6LGaB6DzRwcsN2OMNLgkRjvO.jpg,,tv
98183,Fuera de control,"Silvana returns to Chile with an intense desire to take revenge on the seven people who had to do with the overturn that her life gave after an insidious ""joke"" 12 years ago.",1999-03-08,2.0,1,36.7379,/tJ2JiKMTnfecAI8TmWZI5YwjpLA.jpg,"Soap, Drama",tv
11105,Forensic Files,"Real crimes, disease outbreaks and accidents around the world are solved by experts using scientific laboratory analysis which helps them find previously undetectable evidence. Brilliant scientific work helps convict the guilty and free the innocent.",1996-04-21,7.931,72,36.7379,/k7zrsnodHEe3UUdwHG207rjdbrB.jpg,"Crime, Documentary",tv
36695,Storyville,"Showcasing the best in international documentaries, Storyville has developed an enviable reputation since its inception more than a decade ago. Screening over 340 films, from some 70 different countries, the strand has garnered a staggering array of awards: five Oscars, 15 Griersons, three Peabodys and two International Emmys. In true, unique, Storyville style, the new series promises to deliver the strand's usual eclectic mix of compelling stories from across the globe.",1997-11-15,7.6,7,36.7364,/zLOvaj0zL70g2rxctAnLO3kMw0W.jpg,Documentary,tv
59240,Dumont,"A public affairs show hosted by Mario Dumont. With an experienced team backing him up, Dumont proposes news stories, conducts interviews with citizens and players in the news, and provides his own comments, which are the fruit of his most recent observations.",2009-09-07,0.0,0,36.7338,,News,tv
131041,BLUE LOCK,"After a disastrous defeat at the 2018 World Cup, Japan's team struggles to regroup. But what's missing? An absolute Ace Striker, who can guide them to the win. The Japan Football Union is hell-bent on creating a striker who hungers for goals and thirsts for victory, and who can be the decisive instrument in turning around a losing match...and to do so, they've gathered 300 of Japan's best and brightest youth players. Who will emerge to lead the team...and will they be able to out-muscle and out-ego everyone who stands in their way?",2022-10-09,8.216,446,36.7218,/sTDTy73OYmKY51EK94Mc6AxogzR.jpg,"Animation, Action & Adventure, Drama",tv
1417,Glee,"In this musical comedy, optimistic high school teacher Will Schuester tries to refuel his own passion while reinventing the high school's glee club and challenging a group of outcasts to realize their star potential as they strive to outshine their singing competition while navigating the cruel halls of McKinley High.",2009-05-19,6.758,852,36.7102,/62T2vsZYTje3KhdCsiLR1K1RFJW.jpg,"Comedy, Drama",tv
13354,Question Time,This topical debate series based on Any Questions? typically features politicians from at least the three major political parties as well as other public figures who answer pre-selected questions put to them by a carefully selected audience.,1979-09-25,5.1,12,36.6968,/nLGgjwQNnCKuDdJMDmp02pxB0u9.jpg,"News, Talk",tv
228688,Estrela de Fogo,,1998-05-04,0.0,0,36.6756,,"Drama, Soap",tv
37230,Manten,,2002-09-10,0.0,0,36.6677,/p0aol47WfFYLaLF3GjqVpNd5FBu.jpg,Drama,tv
